Title,URL,Authors,Programs,Bugs,Bounty,PublicationDate,AddedDate,functionality,request_method,anti_csrf_bypass,impact,impact_severity,attack_vector,technical_details,comments
Fastest Fix on Open Bug Bounty Platform,https://medium.com/@kongwenbin/fastest-fix-on-open-bug-bounty-platform-4bb03ff846e8,Wen Bin KONG (@kongwenbin),Kevag Telekom GmbH,"XSS, CSRF",-,2018-05-19,2022-09-15,account management,POST,no token,account takeover,critical,form-based attack,(POC) to demonstrate the vulnerabilityGetting the organisation to fix the vulnerability and deploy it to the production environmentConducting a regression test to verify that the vulnerability has been fixedTriggering Open Bug Bounty platform to verify the fix and update its tracking statusAfter suc,State-changing action vulnerable to CSRF
"How I hacked companies related to the crypto currency and earned $60,000",https://medium.com/@iSecMax/how-i-hacked-companies-related-to-the-crypto-currency-and-earned-60-000-93e9b3299f4e,Max (@0xw2w),"okex.com, livecoin.net","Broken authorization, CSRF, IDOR, Stored XSS, HTML injection","59,400",2018-04-14,2022-09-15,account management,POST,no token,account takeover,critical,api endpoint,standard csrf exploitation,"from the article: Always hire highly qualified programmers for your projects, especially if your budget allows it. In the first two cases, the companies are large enough, they can afford to hire quality specialists, but they save money and because of this, users and reputation may suffer — they leav"
How I hacked one cryptocurrency service,https://medium.com/@valeriyshevchenko/how-i-hacked-one-cryptocurrency-service-db3cb0f81d6c,Valeriy Shevchenko (@Krevetk0Valeriy),PayKassa,"Blind XSS, Reflected XSS, CSRF",300,2018-03-31,2022-09-15,account management,POST,samesite cookie bypass,unauthorized actions,medium,form-based attack,standard csrf exploitation,here because guys from support send to me this smile ;) and it was good to me. Because i caught his cookies → url to admin menu → at the end I can control service from admin tool with this caught cookies.For XSS I used this vector ( always collect my logs with xsshunter.com )“><script src=https://xs
"Leaking WordPress CSRF Tokens for Fun, $1337 bounty, and CVE-2017-5489",https://ahussam.me/Leaking-WordPress-CSRF-Tokens/,Abdullah Hussam (@Abdulahhusam),WordPress,CSRF,"1,337",2018-03-15,2022-09-15,unknown,unknown,unknown,unknown,unknown,unknown,could not extract,could not extract
Google bugs stories and the shiny pixelbook.,https://bughunt1307.herokuapp.com/googlebugs.html,Missoum Said (@missoum1307),Google,"DOM XSS, Stored XSS, Logic flaw, Reflected XSS, CSRF",-,2018-02-19,2022-09-15,unknown,unknown,unknown,unknown,unknown,unknown,could not extract,could not extract
JSON CSRF attack on a Social Networking Site[Hackerone Platform],https://medium.com/@pig.wig45/json-csrf-attack-on-a-social-networking-site-hackerone-platform-3d7aed3239b0,Sahil Tikoo (@viperbluff),Badoo,JSON CSRF,280,2018-01-26,2022-09-15,account management,POST,json-based csrf,unauthorized actions,medium,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
$1800 in less than an hour.,http://c0rni3sm.blogspot.com/2018/01/1800-in-less-than-hour.html,yappare (@yappare),Indeed,"CSRF, XSS","1,800",2018-01-17,2022-09-15,account management,POST,json-based csrf,information disclosure,low,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
Hacking Facebook accounts using CSRF in Oculus-Facebook integration,https://www.josipfranjkovic.com/blog/hacking-facebook-oculus-integration-csrf,Josip Franjkovic (@josipfranjkovic),Meta / Facebook,CSRF,-,2018-01-15,2022-09-15,account management,POST,no token,account takeover,critical,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
#BugBounty — How I was able to delete anyone’s account in an Online Car Rental Company,https://medium.com/bugbountywriteup/bugbounty-how-i-was-able-to-delete-anyones-account-in-an-online-car-rental-company-8a4022cc611,Avinash Jain (@logicbomb_1),-,"CSRF, Parameter tampering",-,2018-01-14,2022-09-15,account management,DELETE,no token,unauthorized actions,critical,form-based attack,standard csrf exploitation,State-changing action vulnerable to CSRF
Multiple Plone Cross-Site Scripting Vulnerabilities,https://www.fortinet.com/blog/threat-research/multiple-plone-cross-site-scripting-vulnerabilities,Zhouyuan Yang,Plone,"XSS, CSRF",-,2017-12-05,2022-09-15,account management,POST,no token,account takeover,critical,form-based attack,standard csrf exploitation,State-changing action vulnerable to CSRF
Account Take Over Vulnerability in Google acquisition [Famebit],https://medium.com/bugbountywriteup/account-take-over-vulnerability-in-google-acquisition-famebit-e93b1a0a7af9,Hassan Khan Yusufzai,Google,CSRF,-,2017-11-17,2022-09-15,account management,POST,json-based csrf,unauthorized actions,critical,form-based attack,standard csrf exploitation,State-changing action vulnerable to CSRF
Bypassing Crossdomain Policy and Hit Hundreds of Top Alexa Sites,https://medium.com/bugbountywriteup/bypassing-crossdomain-policy-and-hit-hundreds-of-top-alexa-sites-af1944f6bbf5,Ak1T4 (@akita_zen),-,CSRF,-,2017-11-16,2022-09-15,account management,POST,no token,account takeover,critical,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
Leaking Amazon.com CSRF Tokens Using Service Worker API,https://ahussam.me/Amazon-leaking-csrf-token-using-service-worker/,Abdullah Hussam (@Abdulahhusam),Amazon,CSRF,-,2017-10-11,2022-09-15,unknown,unknown,unknown,unknown,unknown,unknown,could not extract,could not extract
Facebook GraphQL CSRF,https://philippeharewood.com/facebook-graphql-csrf/,Philippe Harewood (@phwd),Meta / Facebook,CSRF,"7,500",2017-10-08,2022-09-15,account management,POST,samesite cookie bypass,account takeover,low,api endpoint,standard csrf exploitation,This issue allowed an attacker to carry out arbitrary mutations (CSRF) as the victim. The link provided by the attacker is specific to a victim (actor_id) and the victim should authenticate the Instagram business app. Timeline
Luminate Store Basics defacement and potential takeover,https://medium.com/@rojanrijal/luminate-store-basics-defacement-and-potential-takeover-3b53d1e45b4f,Rojan Rijal (@uraniumhacker),Yahoo! / Verizon Media,"CSRF, Session management issue",-,2017-08-30,2022-09-15,account management,POST,json-based csrf,account takeover,critical,form-based attack,standard csrf exploitation,"than the other.When a business information is modified, a POST request is made to:https://www.luminate.com/ordermgr/_module?ysbparams={ysb_param}&modulename=ysb-mui-apps&action=save_site_settingsIn the POST request JSON request like this is passed:{""bizprofile"":{""info"":{""name"":{""titlepage"":""sec""},""c"
Chain the vulnerabilities and take your report impact on the moon (CSRF to HTML INJECTION which results OPEN REDIRECT and could steal USER CREDENTIALS),https://medium.com/@armaanpathan/chain-the-vulnerabilities-and-take-your-report-impact-on-the-moon-csrf-to-html-injection-which-608fa6e74236,Armaan Pathan (@armaancrockroax),Legal Robot,"CSRF, HTML injection",40,2017-08-12,2022-09-15,account management,POST,referer validation bypass,unauthorized actions,medium,form-based attack,standard csrf exploitation,on the moon (CSRF to HTML INJECTION which results in USER CREDENTIALS Stealing) | by Armaan Pathan | MediumSitemapSign upSign inMedium LogoWriteSign upSign inChain the vulnerabilities and take your report impact on the moon (CSRF to HTML INJECTION which results in USER CREDENTIALS Stealing)Armaan Pa
That Escalated Quickly : From partial CSRF to reflected XSS to complete CSRF to Stored XSS,https://medium.com/@ciph3r7r0ll/that-escalated-quickly-from-partial-csrf-to-reflected-xss-to-complete-csrf-to-stored-xss-6ba8103069c2,Mandeep Jadon (@1337tr0lls),-,"CSRF, Reflected XSS, Stored XSS",-,2017-07-19,2022-09-15,account management,POST,no token,unauthorized actions,critical,form-based attack,standard csrf exploitation,State-changing action vulnerable to CSRF
Stealing Access Token of One-drive Integration By Chaining CSRF Vulnerability,https://medium.com/@arbazhussain/stealing-access-token-of-one-drive-integration-by-chaining-csrf-vulnerability-779f999624a7,Arbaz Hussain (@ArbazKiraak),-,"OAuth, CSRF",-,2017-07-18,2022-09-15,account management,GET,samesite cookie bypass,unauthorized actions,high,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
Authentication bypass on Airbnb via OAuth tokens theft,https://www.arneswinnen.net/2017/06/authentication-bypass-on-airbnb-via-oauth-tokens-theft/,Arne Swinnen (@ArneSwinnen),Airbnb,"OAuth, Login CSRF, Open redirect, Authentication bypass","5,000",2017-06-22,2022-09-15,account management,POST,no token,information disclosure,critical,api endpoint,standard csrf exploitation,is different:
Vulnerability in Metasploit Project aka CVE-2017-5244,https://www.seekurity.com/blog/general/metasploit-web-project-kill-all-running-tasks-csrf-cve-2017-5244/,Mohamed A. Baset,Rapid7,CSRF,-,2017-06-12,2022-09-15,account management,POST,token validation bypass,unauthorized actions,critical,api endpoint,you can read about it here: https://community.rapid7.com/community/metasploit/blog/2017/06/14/r7-2017-16-cve-2017-5244-lack-of-csrf-protection-for-stopping-tasks-in-metasploit-pro-express-and-community-editions-fixed And here is our advisory details: # Exploit Title: Metasploit Web Project Kill all ,"After doing some research, i have found that the anti csrf token “authenticity_token” value is not validated from the local server side which will result in a csrf attack and kills all the currently running metasploit tasks (with no ability to resume). Attack vectors: Attackers can target a local me"
Let’s steal some tokens!,https://www.seekurity.com/blog/general/lets-steal-some-tokens,Mahmoud Gamal (@Zombiehelp54),"Google, Shopify","CSRF, XSS, Account takeover","1,000",2017-06-11,2022-09-15,account management,POST,no token,unauthorized actions,critical,api endpoint,standard csrf exploitation,that when chained together will lead to an attacker being able to steal the current user’s facebook access token provided for kitcrm.com
"Stored XSS, CSRF And Clickjacking Vulnerabilities in Opera",https://www.rafaybaloch.com/2017/06/stored-xss-csrf-and-clickjacking.html,Rafay Baloch (@rafaybaloch),Opera,"Stored XSS, CSRF, Clickjacking",-,2017-06-01,2022-09-15,account management,POST,no token,unauthorized actions,low,form-based attack,standard csrf exploitation,State-changing action vulnerable to CSRF
"One company: 262 bugs, 100% acceptance, 2.57 priority, millions of user details saved.",https://medium.com/@sean.roesner/one-company-262-bugs-100-acceptance-2-57-priority-300million-user-details-saved-dd88ecb10f6f,Zseano (@zseano),-,"Stored XSS, Blind XSS, CSRF, Account takeover, IDOR",-,2017-02-25,2022-09-15,account management,POST,no token,account takeover,critical,api endpoint,standard csrf exploitation,"(such as updating their email), but one noteable experience is worth going into more detail about which should help you when researching. One website had CSRF tokens etc on every post, but if you simply removed the token, it would reflect the changes you wanted to make but display an error, “invalid"
Cross Site Request Forgery in Facebook,https://medium.com/@zahidali_93675/cross-site-request-forgery-in-facebook-86087201d8c,Zahid Ali,Meta / Facebook,CSRF,"1,000",2017-02-04,2022-09-15,account management,POST,no token,unauthorized actions,medium,form-based attack,standard csrf exploitation,State-changing action vulnerable to CSRF
CSRF in partners.facebook.com,https://github.com/cymtrick/lol/blob/d17ed765129b26a1bf8060757e5aebd4e237c908/_posts/2016-09-20-Facebook-partners-CSRF.md,Prashanth Varma (@cymtrick),Meta / Facebook,CSRF,"5,000",2016-09-20,2022-10-28,account management,POST,no token,unauthorized actions,critical,form-based attack,standard csrf exploitation,State-changing action vulnerable to CSRF
Messenger.com Site-Wide CSRF,https://whitton.io/articles/messenger-site-wide-csrf/,Jack Whitton (@fin1te),Meta / Facebook,CSRF,-,2016-07-26,2022-09-15,account management,GET,json-based csrf,unauthorized actions,critical,form-based attack,standard csrf exploitation,State-changing action vulnerable to CSRF
BMW Vulnerabilities – Hijack Cars ConnectedDrive™ Service!,https://www.seekurity.com/blog/general/bmw-vulnerabilities-hijack-cars-connecteddrive-service/,Mohamed A. Baset,BMW,"Clickjacking, CSRF",-,2016-07-24,2022-09-15,account management,POST,no token,account takeover,critical,form-based attack,Video:,State-changing action vulnerable to CSRF
Stealing Facebook access_tokens using CSRF in device login flow,https://www.josipfranjkovic.com/blog/hacking-facebook-csrf-device-login-flow,Josip Franjkovic (@josipfranjkovic),Meta / Facebook,"CSRF, OAuth, Information disclosure",-,2016-07-19,2022-09-15,account management,POST,no token,unauthorized actions,low,form-based attack,around that:,State-changing action vulnerable to CSRF
TopCoder.com Vulnerabilities – A tail of site-wide bugs leads to accounts compromise & payments hijacking,https://www.seekurity.com/blog/general/topcoder-vulnerabilities-a-tail-of-site-wide-bugs-leads-to-accounts-compromise-payments-hijacking/,Mohamed A. Baset,Topcoder.com,"CSRF, Account takeover",-,2016-06-28,2022-09-15,account management,POST,no token,account takeover,critical,form-based attack,standard csrf exploitation,State-changing action vulnerable to CSRF
Two vulnerabilities makes an Exploit!! (XSS and CSRF in Bing),https://medium.com/bugbountywriteup/two-vulnerabilities-makes-an-exploit-xss-and-csrf-in-bing-cd4269da7b69,Sai Krishna Kothapalli (@kmskrishna),Microsoft,"XSS, CSRF",-,2016-06-10,2022-09-15,account management,POST,custom header bypass,unauthorized actions,critical,form-based attack,standard csrf exploitation,State-changing action vulnerable to CSRF
RunKeeper Stored XSS Vulnerability – Where worms are able to run too!,https://www.seekurity.com/blog/general/runkeeper-stores-xss-vulnerability/,Mohamed A. Baset,RunKeeper,"Stored XSS, CSRF",-,2016-06-06,2022-09-15,account management,GET,no token,unauthorized actions,critical,api endpoint,"scenario we found 2 issues, First a stored cross site scripting affecting “RunKeeper user profile name” where the payload is stored in the database and will be reflected whenever the public user profile page called by any user, Sometimes a stored cross site scripting issue is more sever than a SQLi ",State-changing action vulnerable to CSRF
How I bypassed Facebook CSRF once again!,https://blog.darabi.me/2016/05/how-i-bypassed-facebook-csrf-in-2016.html,Pouya Darabi (@Pouyadarabi),Meta / Facebook,CSRF,"7,500",2016-05-17,2022-09-15,account management,POST,samesite cookie bypass,account takeover,critical,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
Fiverr.com Full Accounts Takeover – A Vulnerability Puts $50 Million Company At Risk,https://www.seekurity.com/blog/general/fiverr-com-full-accounts-takeover-vulnerability/,Mohamed A. Baset,Fiverr,CSRF,-,2016-05-13,2022-09-15,account management,POST,no token,account takeover,critical,form-based attack,standard csrf exploitation,State-changing action vulnerable to CSRF
"Obtaining Login Tokens for an Outlook, Office or Azure Account",https://whitton.io/articles/obtaining-tokens-outlook-office-azure-account/,Jack Whitton (@fin1te),Microsoft,CSRF,-,2016-04-03,2022-09-15,account management,POST,no token,unauthorized actions,critical,form-based attack,standard csrf exploitation,"can be pretty large. Fix The hostname in wreply now must end in %2f, which gets URL-decoded to /. This ensures that the browser only sends the request to the intended host. Timeline"
Ubiquiti Bug Bounty: UniFi v3.2.10 Generic CSRF Protection Bypass,https://www.rcesecurity.com/2016/02/ubiquiti-bug-bounty-unifi-v3-2-10-generic-csrf-protection-bypass/,Julien Ahrens (@MrTuxracer),Ubiquity Networks,CSRF,500,2016-02-23,2022-09-15,account management,POST,json-based csrf,unauthorized actions,critical,api endpoint,about the Vulnerability It’s basically about a faulty Cross-Site Request Forgery protection. Ubiquiti’s CSRF protection basically verifies whether the Referer header exists and whether the header value matches the host where the UniFi application is running on. So if an attacker tries to exploit a f,State-changing action vulnerable to CSRF
How I bypassed Facebook CSRF Protection,https://blog.darabi.me/2015/04/bypass-facebook-csrf.html,Pouya Darabi (@Pouyadarabi),Meta / Facebook,CSRF,"15,000",2015-09-04,2022-09-15,account management,POST,json-based csrf,account takeover,critical,form-based attack,standard csrf exploitation,State-changing action vulnerable to CSRF
Flickr API Explorer – Force users to execute any API request.,https://buer.haus/2015/02/03/flickr-api-explorer-force-users-to-execute-any-api-request/,Brett Buerhaus (@bbuerhaus),Flickr,CSRF,100,2015-02-03,2022-09-15,account management,POST,no token,account takeover,critical,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
Popping a shell on the Oculus developer portal,https://bitquark.co.uk/blog/2014/08/31/popping_a_shell_on_the_oculus_developer_portal,Bitquark (@bitquark),Meta / Facebook,"SQL injection, CSRF, RCE, IDOR","30,000",2014-08-31,2022-09-15,unknown,POST,no token,unauthorized actions,medium,web application,standard csrf exploitation,State-changing action vulnerable to CSRF
Instagram's One-Click Privacy Switch,https://whitton.io/articles/instagrams-one-click-privacy-switch/,Jack Whitton (@fin1te),Meta / Facebook,CSRF,-,2013-10-31,2022-09-15,account management,POST,no token,unauthorized actions,critical,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
"Facebook bug bounty: secondary damage (one report that leads to more bugs), fairness, and why I really like reporting to Facebook",https://josipfranjkovic.blogspot.com/2013/11/facebook-bug-bounty-secondary-damage.html,Josip Franjkovic (@josipfranjkovic),Meta / Facebook,CSRF,-,2013-10-21,2022-09-15,account management,GET,no token,account takeover,critical,link/image-based attack,"1. a victim must have verified school address 2. victim must make GET request to https://www.facebook.com/groups/{{schoolGroupName}}/_join_/ for example, in my test case: victim with jxfXXXX@***.edu verified visits site with <img src=""https://www.facebook.com/groups/GroupsAt***/_join_/""> and becomes","Hello, This vulnerability allows attacker to make victim a member of groups for schools. It is very specific and low-risk because victim must: 1. have school/university email VERIFIED 2. not already be part of group In order for this to work, this must also be victim's FIRST time to join group. Atta"
Facebook CSRF leading to full account takeover (fixed),https://www.josipfranjkovic.com/blog/facebook-csrf-full-account-takeover,Josip Franjkovic (@josipfranjkovic),Meta / Facebook,"CSRF, Account takeover","8,450",2013-10-18,2022-09-15,account management,GET,no token,account takeover,critical,api endpoint,standard csrf exploitation,State-changing action vulnerable to CSRF
Stealing Facebook Access Tokens with a Double Submit,https://whitton.io/articles/stealing-facebook-access-tokens-with-a-double-submit/,Jack Whitton (@fin1te),Meta / Facebook,"CSRF, OAuth",-,2013-04-13,2022-09-15,account management,POST,no token,unauthorized actions,critical,form-based attack,standard csrf exploitation,State-changing action vulnerable to CSRF
My Experience with the PayPal Bug Bounty Programme,https://whitton.io/archive/my-experience-with-the-paypal-bug-bounty-programme/,Jack Whitton (@fin1te),Paypal,CSRF,750,2012-10-12,2022-09-15,account management,POST,no token,unauthorized actions,medium,form-based attack,standard csrf exploitation,State-changing action vulnerable to CSRF
